RegionID,SizeRank,RegionName,RegionType,StateName,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31
394423,360,"Brunswick, GA",msa,GA,195768.0,213875.0,212791.0,214982.0,205553.0,213136.0,216707.0,213632.0,210536.0,208471.0,207759.0,195713.0,197204.0,215291.0,234352.0,238808.0,236987.0,245247.0,250538.0,248540.0,230383.0,221718.0,220501.0,232794.0,245833.0,260200.0,278698.0,288220.0,288730.0,274828.0,261872.0,259379.0,264383.0,271812.0,271197.0,266033.0,262698.0,256997.0,270248.0,275270.0,299073.0,288982.0,297310.0,289433.0,297797.0,299112.0,310787.0,305579.0,299213.0,281560.0,304325.0,291801.0,315961.0,297029.0,306209.0,293635.0,300774.0,309485.0
395173,361,"Twin Falls, ID",msa,ID,185296.0,183357.0,190504.0,197642.0,201029.0,193971.0,195523.0,193145.0,194800.0,196371.0,203961.0,214327.0,211217.0,212173.0,209923.0,211660.0,214329.0,215482.0,216757.0,217518.0,220505.0,224203.0,223978.0,229281.0,230941.0,242477.0,242995.0,249906.0,255678.0,263599.0,268725.0,270884.0,276519.0,288626.0,289667.0,294121.0,300072.0,311542.0,319732.0,318574.0,326116.0,320887.0,330252.0,324707.0,341760.0,343479.0,354194.0,349419.0,347035.0,344636.0,332268.0,318832.0,301430.0,309939.0,311781.0,322547.0,316214.0,329694.0
753872,361,"California, MD",msa,MD,266642.0,271494.0,276365.0,276593.0,268348.0,272218.0,278004.0,284073.0,280266.0,278493.0,280101.0,285100.0,284285.0,284735.0,284047.0,285095.0,283060.0,287088.0,294171.0,303131.0,307310.0,303479.0,302374.0,298458.0,298941.0,305987.0,311700.0,326030.0,326381.0,323427.0,313717.0,311404.0,319277.0,327675.0,327819.0,330614.0,328284.0,337437.0,339141.0,347284.0,346494.0,345990.0,343194.0,343731.0,349600.0,357172.0,366128.0,368033.0,370987.0,367378.0,362618.0,351372.0,349510.0,350174.0,361349.0,370018.0,369149.0,372916.0
394495,363,"Cookeville, TN",msa,TN,145930.0,150807.0,146041.0,140960.0,138840.0,148337.0,145607.0,146094.0,146452.0,149704.0,153543.0,157115.0,156805.0,157243.0,157151.0,158015.0,160973.0,157730.0,157540.0,159189.0,167185.0,177691.0,176822.0,176375.0,177482.0,182903.0,186780.0,190937.0,195604.0,197005.0,194668.0,193089.0,196820.0,202248.0,210066.0,220160.0,227342.0,231888.0,244726.0,247906.0,247354.0,242270.0,246551.0,260571.0,261268.0,264581.0,266254.0,264264.0,263464.0,253836.0,253819.0,252922.0,249225.0,250813.0,244517.0,247876.0,246924.0,256909.0
394893,364,"Muncie, IN",msa,IN,99121.0,99691.0,94759.0,93755.0,91382.0,96023.0,105660.0,106429.0,104856.0,101009.0,100529.0,103256.0,102043.0,103589.0,111212.0,114560.0,113645.0,112128.0,113867.0,123204.0,123893.0,120142.0,113640.0,108798.0,112039.0,111984.0,114817.0,116422.0,119073.0,123670.0,123834.0,119921.0,113646.0,111465.0,120865.0,123959.0,129699.0,125334.0,129211.0,126946.0,129230.0,125478.0,125653.0,128280.0,128126.0,132285.0,131677.0,130864.0,132111.0,132535.0,138807.0,135573.0,132646.0,133492.0,141836.0,147225.0,144488.0,144248.0
394857,365,"Michigan City, IN",msa,IN,134732.0,130970.0,131446.0,134614.0,134507.0,131819.0,140723.0,147998.0,158406.0,158364.0,157116.0,154819.0,148606.0,140616.0,141595.0,146346.0,149426.0,144541.0,142328.0,142446.0,143499.0,150135.0,155762.0,163267.0,159239.0,164394.0,163612.0,166004.0,163296.0,167661.0,169292.0,171580.0,165507.0,167148.0,162659.0,160875.0,161801.0,163010.0,167067.0,168762.0,172064.0,171330.0,173792.0,195001.0,204061.0,199155.0,185198.0,185135.0,195087.0,200102.0,202295.0,201233.0,192414.0,192158.0,180556.0,177501.0,189653.0,215665.0
395039,366,"Roseburg, OR",msa,OR,216770.0,204952.0,203799.0,208383.0,218082.0,229556.0,229644.0,223415.0,212006.0,213054.0,225903.0,232985.0,236827.0,238258.0,239660.0,238519.0,238939.0,239569.0,243971.0,242649.0,236657.0,228064.0,227815.0,229765.0,240990.0,243511.0,256106.0,258945.0,265545.0,281323.0,277704.0,284061.0,269911.0,276129.0,272402.0,278058.0,288135.0,294219.0,299836.0,303816.0,309009.0,297754.0,303872.0,312863.0,331375.0,340925.0,342182.0,340880.0,328286.0,320577.0,325472.0,322055.0,324764.0,304036.0,304052.0,303921.0,314918.0,323623.0
394788,367,"Lewiston, ME",msa,ME,167640.0,164842.0,162627.0,162382.0,163962.0,168419.0,168033.0,170639.0,164050.0,158992.0,160414.0,169719.0,177239.0,179870.0,175887.0,176197.0,172762.0,176905.0,175554.0,181373.0,185092.0,190205.0,188840.0,194723.0,202891.0,206997.0,207908.0,205256.0,208337.0,206011.0,205941.0,211400.0,218308.0,225953.0,228588.0,234143.0,234910.0,240634.0,237758.0,242816.0,246962.0,249791.0,252982.0,250955.0,255269.0,259354.0,269227.0,275951.0,273926.0,267202.0,261078.0,264467.0,274663.0,290070.0,294709.0,296496.0,295412.0,293679.0
394804,368,"Longview, WA",msa,WA,243231.0,245248.0,245356.0,248362.0,253129.0,248175.0,252845.0,249994.0,261818.0,259379.0,260539.0,256985.0,263972.0,269113.0,276541.0,274535.0,274277.0,278728.0,278898.0,287403.0,290381.0,291361.0,284526.0,286232.0,297262.0,303958.0,305876.0,314132.0,317735.0,319915.0,310441.0,318127.0,331184.0,342284.0,351777.0,351084.0,355364.0,353986.0,352330.0,354936.0,357660.0,361374.0,364855.0,361826.0,364536.0,368020.0,369122.0,363007.0,352472.0,353004.0,361702.0,360173.0,358303.0,357385.0,366328.0,369352.0,371994.0,384187.0
394932,369,"Ogdensburg, NY",msa,NY,,,,,,,,,,,,,,,,,,,,102046.0,102180.0,96417.0,91956.0,101559.0,101048.0,106638.0,106611.0,106933.0,103583.0,112510.0,120289.0,123372.0,115190.0,112812.0,110503.0,106514.0,104064.0,109844.0,121444.0,129869.0,139764.0,126981.0,105857.0,107889.0,120225.0,141070.0,138819.0,133622.0,136728.0,127799.0,137260.0,134031.0,138583.0,135414.0,126280.0,120918.0,125514.0,129095.0
